,shit,id,去年同月增減(%)
277,277,2351,2.75
278,278,2363,-6.29
279,279,2369,-22.24
280,280,2379,5.63
281,281,2388,14.84
282,282,2401,-33.17
283,283,2408,71.81
284,284,2434,-15.71
285,285,2436,-8.01
286,286,2441,-0.12
287,287,2449,4.04
288,288,2451,-33.12
289,289,2454,4.13
290,290,2458,16.68
291,291,2481,2.29
292,292,3006,14.25
293,293,3014,15.08
294,294,3016,51.31
295,295,3034,26.06
296,296,3035,11.37
297,297,3041,-30.92
298,298,3054,-78.88
299,299,3094,-20.16
300,300,3189,-9.89
301,301,3257,-25.58
302,302,3413,6.6
303,303,3443,35.88
304,304,3519,-77.69
305,305,3530,9.61
306,306,3532,29.7
307,307,3536,-28.4
308,308,3545,-19.5
309,309,3579,-80.36
310,310,3583,89.58
311,311,3588,-1.59
312,312,3686,-98.13
313,313,3711,nan
314,314,4919,4.44
315,315,4952,-11.43
316,316,4968,-10.03
317,317,5269,47.41
318,318,5285,8.53
319,319,5305,-4.78
320,320,5471,-1.29
321,321,6202,4.26
322,322,6239,6.77
323,323,6243,0.36
324,324,6257,48.35
325,325,6271,-4.45
326,326,6531,50.91
327,327,6533,29.95
328,328,6552,64.78
329,329,8016,5.9
330,330,8028,17.23
331,331,8081,14.56
332,332,8110,-12.74
333,333,8131,20.01
334,334,8150,10.5
335,335,8261,23.0
336,336,8271,-22.81
337,337,2301,-2.79
338,338,2305,11.08
339,339,2324,9.03
340,340,2331,-1.38
341,341,2352,13.11
342,342,2353,2.49
343,343,2356,11.75
344,344,2357,-10.85
345,345,2362,-49.15
346,346,2364,62.31
347,347,2365,-19.4
348,348,2376,-20.67
349,349,2377,0.18
350,350,2380,-30.0
351,351,2382,-5.85
352,352,2387,-3.39
353,353,2395,-2.53
354,354,2397,18.07
355,355,2399,0.04
356,356,2405,-33.3
357,357,2417,4.79
358,358,2424,-98.99
359,359,2425,-50.91
360,360,2442,129.66
361,361,2465,-21.82
362,362,3002,-18.06
363,363,3005,14.51
364,364,3013,44.03
365,365,3017,0.73
366,366,3022,-2.81
367,367,3046,3.37
368,368,3057,7.15
369,369,3060,-17.64
370,370,3231,9.67
371,371,3416,-8.27
372,372,3494,17.86
373,373,3515,12.04
374,374,3701,-44.19
375,375,3706,-35.16
376,376,4916,16.01
377,377,4938,-21.91
378,378,5258,-3.42
379,379,6117,-40.05
380,380,6128,369.02
381,381,6166,-27.93
382,382,6172,11.82
383,383,6206,-12.08
384,384,6230,-0.14
385,385,6235,25.22
386,386,6277,-6.83
387,387,6414,58.97
388,388,6579,38.54
389,389,8114,84.91
390,390,8163,20.22
391,391,8210,17.54
392,392,9912,-15.43
393,393,2323,-7.7
394,394,2340,-3.35
395,395,2349,-5.62
396,396,2374,-38.02
397,397,2393,-13.11
398,398,2406,-47.99
399,399,2409,-5.61
400,400,2426,2.25
401,401,2438,-36.71
402,402,2448,-22.04
403,403,2466,31.85
404,404,2475,-41.61
405,405,2486,-10.64
406,406,2489,49.03
407,407,2491,-23.07
408,408,2499,-4.26
409,409,3008,1.37
410,410,3019,-4.62
411,411,3024,-37.14
412,412,3031,-24.78
413,413,3038,-6.28
414,414,3049,-31.47
415,415,3050,-1.45
416,416,3051,10.07
417,417,3059,-3.21
418,418,3149,7.38
419,419,3356,-14.38
420,420,3383,-52.16
421,421,3406,-14.63
422,422,3437,-12.2
423,423,3454,-5.87
424,424,3481,-9.48
425,425,3504,20.75
426,426,3514,
427,427,3535,160.72
428,428,3557,107.04
429,429,3561,
430,430,3576,-2.5
431,431,3591,-12.52
432,432,3622,103.54
433,433,3669,-1.17
434,434,3698,-0.67
435,435,4934,-89.95
436,436,4942,39.25
437,437,4956,11.01
438,438,4960,36.52
439,439,4976,-0.15
440,440,5234,8.15
441,441,5259,-64.58
442,442,5484,-5.31
443,443,6116,-45.89
444,444,6120,-23.04
445,445,6131,-417.85
446,446,6164,-5.01
447,447,6168,-14.22
448,448,6176,-5.94
449,449,6209,-1.76
450,450,6225,319.14
451,451,6226,104.32
452,452,6278,38.53
453,453,6288,23.05
454,454,6289,-54.06
455,455,6405,-38.38
456,456,6443,-67.98
457,457,6477,9.91
458,458,8105,-20.26
459,459,8215,22.62
460,460,2314,7.93
461,461,2321,-24.55
462,462,2332,-12.29
463,463,2345,20.57
464,464,2412,-8.46
465,465,2419,42.67
466,466,2439,80.24
467,467,2444,-30.78
468,468,2450,-19.96
469,469,2455,-24.32
470,470,2485,-10.17
471,471,2496,0.31
472,472,2498,-80.7
473,473,3025,37.97
474,474,3027,8.08
475,475,3045,-1.57
476,476,3047,13.67
477,477,3062,-28.14
478,478,3311,-10.54
479,479,3380,-21.79
480,480,3419,-19.33
481,481,3596,43.59
482,482,3682,6.49
483,483,3694,5.64
484,484,3704,31.21
485,485,4904,-10.27
486,486,4906,42.31
487,487,5388,-25.7
488,488,6136,-50.87
489,489,6142,2.76
490,490,6152,-26.05
491,491,6216,-13.5
492,492,6285,5.44
493,493,6416,16.58
494,494,6442,12.66
495,495,8011,6.12
496,496,8101,-70.83
497,497,1471,-16.7
498,498,1582,-1.66
499,499,2059,-1.81
500,500,2308,4.16
501,501,2313,-4.77
502,502,2316,0.23
503,503,2327,241.63
504,504,2328,4.01
505,505,2355,-24.12
506,506,2367,7.13
507,507,2368,3.12
508,508,2375,-14.31
509,509,2383,2.16
510,510,2385,4.62
511,511,2392,-22.23
512,512,2402,5.76
513,513,2413,4.99
514,514,2415,-2.56
515,515,2420,-10.77
516,516,2421,8.74
517,517,2428,0.2
518,518,2429,-37.04
519,519,2431,39.5
520,520,2440,-15.65
521,521,2456,72.18
522,522,2457,20.4
523,523,2460,-15.56
524,524,2462,9.17
525,525,2467,9.89
526,526,2472,1.0
527,527,2476,-6.68
528,528,2478,67.47
529,529,2483,10.15
530,530,2484,-31.59
531,531,2492,203.78
532,532,2493,-3.58
533,533,3003,10.05
534,534,3011,33.17
535,535,3015,-2.7
536,536,3021,12.57
537,537,3023,20.57
538,538,3026,31.36
539,539,3032,-18.13
540,540,3037,14.63
541,541,3042,4.47
542,542,3044,14.35
543,543,3058,-11.33
544,544,3090,20.63
545,545,3229,-17.4
546,546,3296,12.0
547,547,3308,-24.87
548,548,3321,-21.12
549,549,3338,9.17
550,550,3376,15.72
551,551,3432,-36.16
552,552,3501,3.72
553,553,3533,18.03
554,554,3550,-15.47
555,555,3593,-19.92
556,556,3605,3.09
557,557,3607,-15.58
558,558,3645,-9.82
559,559,3653,23.73
560,560,3679,-3.17
561,561,4545,-10.05
562,562,4915,35.41
563,563,4989,-19.12
564,564,4999,1.35
565,565,5469,7.59
566,566,6108,-7.0
567,567,6115,-21.2
568,568,6133,-13.96
569,569,6141,8.32
570,570,6153,44.52
571,571,6155,-23.58
572,572,6165,-79.24
573,573,6191,5.05
574,574,6197,4.77
575,575,6205,-27.02
576,576,6213,-8.12
577,577,6224,-10.4
578,578,6251,16.59
579,579,6269,-5.43
580,580,6282,16.86
581,581,6412,4.97
582,582,6449,-32.26
583,583,8039,-17.45
584,584,8046,15.55
585,585,8103,7.55
586,586,8213,-5.33
