,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1217,稅後淨利,-34.0,38.0,-54.0,68.0,-33.0,-26.0,-113.0,32.0
1217,每股盈餘,-0.07,0.08,0.27,0.13,-0.07,-0.05,0.33,0.06
1218,營業收入淨額,1992.0,1845.0,1825.0,2220.0,1833.0,1786.0,1951.0,2302.0
1218,營業利益,28.0,18.0,-43.0,111.0,-88.0,-16.0,39.0,101.0
1218,營業外收入及支出,114.0,68.0,74.0,205.0,84.0,18.0,-189.0,55.0
1218,稅後淨利,122.0,79.0,32.0,209.0,7.0,19.0,-126.0,145.0
1218,每股盈餘,0.28,0.19,0.05,0.89,-0.01,0.0,-0.45,0.42
1219,營業收入淨額,2970.0,2881.0,2806.0,2672.0,2509.0,2836.0,2987.0,2665.0
1219,營業利益,19.0,58.0,43.0,-3.0,-26.0,-3.0,-5.0,7.0
1219,營業外收入及支出,4.0,-2.0,9.0,23.0,-6.0,20.0,8.0,7.0
1219,稅後淨利,5.0,54.0,73.0,-8.0,-35.0,10.0,1.0,8.0
1219,每股盈餘,0.11,0.15,0.25,0.09,-0.02,0.11,0.11,0.12
1220,營業收入淨額,630.0,574.0,661.0,645.0,571.0,502.0,735.0,706.0
1220,營業利益,44.0,17.0,13.0,29.0,14.0,18.0,16.0,36.0
1220,營業外收入及支出,-1.0,16.0,4.0,17.0,17.0,-7.0,55.0,-1.0
1220,稅後淨利,39.0,18.0,15.0,36.0,19.0,11.0,11.0,32.0
1220,每股盈餘,0.14,0.18,0.06,0.19,0.13,0.05,0.21,0.23
1225,營業收入淨額,2684.0,2808.0,2800.0,2715.0,2653.0,2646.0,3005.0,2699.0
1225,營業利益,93.0,107.0,109.0,127.0,111.0,121.0,158.0,133.0
1225,營業外收入及支出,18.0,9.0,-68.0,7.0,11.0,0.0,12.0,2.0
1225,稅後淨利,86.0,96.0,20.0,111.0,89.0,100.0,139.0,113.0
1225,每股盈餘,0.34,0.38,0.02,0.41,0.33,0.37,0.51,0.38
1227,營業收入淨額,5008.0,7414.0,7107.0,7375.0,5504.0,6492.0,7527.0,6891.0
1227,營業利益,283.0,970.0,777.0,889.0,344.0,785.0,799.0,686.0
1227,營業外收入及支出,136.0,-26.0,30.0,-13.0,-14.0,-53.0,83.0,90.0
1227,稅後淨利,335.0,747.0,705.0,748.0,228.0,598.0,721.0,606.0
1227,每股盈餘,0.39,0.82,0.73,0.77,0.24,0.68,0.81,0.7
1229,營業收入淨額,1178.0,1139.0,1178.0,1167.0,1116.0,1069.0,1192.0,1225.0
1229,營業利益,70.0,72.0,119.0,113.0,122.0,128.0,170.0,170.0
1229,營業外收入及支出,596.0,490.0,581.0,1131.0,511.0,346.0,333.0,615.0
1229,稅後淨利,644.0,546.0,616.0,998.0,666.0,456.0,647.0,713.0
1229,每股盈餘,0.68,0.57,0.71,1.27,0.68,0.5,0.56,0.78
1231,營業收入淨額,1751.0,2017.0,1718.0,1921.0,1629.0,1763.0,1762.0,1752.0
1231,營業利益,68.0,151.0,131.0,143.0,68.0,94.0,161.0,102.0
1231,營業外收入及支出,23.0,11.0,27.0,17.0,19.0,-4.0,25.0,51.0
1231,稅後淨利,28.0,135.0,116.0,123.0,57.0,85.0,139.0,74.0
1231,每股盈餘,0.42,0.84,0.82,0.83,0.46,0.47,1.01,0.76
1232,營業收入淨額,4264.0,4118.0,4184.0,4251.0,4060.0,4389.0,4658.0,4554.0
1232,營業利益,271.0,255.0,261.0,280.0,235.0,239.0,281.0,264.0
1232,營業外收入及支出,27.0,-6.0,-1.0,8.0,14.0,-30.0,34.0,-31.0
1232,稅後淨利,204.0,217.0,221.0,234.0,200.0,224.0,228.0,227.0
1232,每股盈餘,1.46,1.23,1.32,1.46,1.26,1.06,1.61,1.19
1233,營業收入淨額,533.0,553.0,539.0,538.0,513.0,553.0,544.0,522.0
1233,營業利益,44.0,51.0,37.0,52.0,43.0,61.0,46.0,35.0
1233,營業外收入及支出,26.0,-3.0,12.0,7.0,5.0,-7.0,8.0,2.0
1233,稅後淨利,56.0,38.0,41.0,49.0,40.0,45.0,45.0,31.0
1233,每股盈餘,0.61,0.43,0.45,0.54,0.44,0.5,0.5,0.34
