,0,1,2
2,1459,2015,0.72
3,1459,2014,0.56
0,1460,2017,0.47
1,1460,2016,1.2
2,1460,2015,1.03
3,1460,2014,0.85
0,1463,2017,3.5
1,1463,2016,3.95
2,1463,2015,0.51
3,1463,2014,0.63
0,1464,2017,1.21
1,1464,2016,1.45
2,1464,2015,1.4
3,1464,2014,4.14
0,1465,2017,0.25
1,1465,2016,0.72
2,1465,2015,1.0
3,1465,2014,1.05
0,1466,2017,-0.03
1,1466,2016,-0.91
2,1466,2015,0.07
3,1466,2014,0.52
0,1467,2017,-0.36
1,1467,2016,0.07
2,1467,2015,0.01
3,1467,2014,0.57
0,1468,2017,-0.59
1,1468,2016,-0.25
2,1468,2015,-0.33
3,1468,2014,-0.36
0,1470,2017,0.49
1,1470,2016,0.55
2,1470,2015,0.71
3,1470,2014,0.77
0,1472,2017,-1.08
1,1472,2016,0.89
2,1472,2015,-0.5
3,1472,2014,-0.89
0,1473,2017,0.64
1,1473,2016,1.54
2,1473,2015,0.65
3,1473,2014,0.97
0,1474,2017,0.84
1,1474,2016,0.94
2,1474,2015,0.7
3,1474,2014,0.44
0,1475,2017,-12.31
1,1475,2016,-1.94
2,1475,2015,1.78
3,1475,2014,-0.79
0,1476,2017,11.12
1,1476,2016,13.67
2,1476,2015,15.99
3,1476,2014,11.51
0,1477,2017,6.18
1,1477,2016,7.39
2,1477,2015,10.9
3,1477,2014,9.62
0,4414,2017,-0.71
1,4414,2016,-1.94
2,4414,2015,-3.61
3,4414,2014,0.29
0,4426,2017,1.47
1,4426,2016,6.26
2,4426,2015,6.65
3,4426,2014,3.51
0,4438,2017,5.07
1,4438,2016,7.41
2,4438,2015,10.21
3,4438,2014,11.26
0,1503,2017,2.55
1,1503,2016,2.39
2,1503,2015,2.39
3,1503,2014,2.43
0,1504,2017,1.56
1,1504,2016,1.76
2,1504,2015,1.6
3,1504,2014,2.05
0,1506,2017,-0.12
1,1506,2016,0.17
2,1506,2015,0.29
3,1506,2014,0.11
0,1507,2017,2.76
1,1507,2016,3.8
2,1507,2015,4.53
3,1507,2014,4.95
0,1512,2017,-3.09
1,1512,2016,-0.68
2,1512,2015,-0.83
3,1512,2014,-1.3
0,1513,2017,1.19
1,1513,2016,1.22
2,1513,2015,1.34
3,1513,2014,1.5
0,1514,2017,0.58
1,1514,2016,0.51
2,1514,2015,0.59
3,1514,2014,0.55
0,1515,2017,1.49
1,1515,2016,0.58
2,1515,2015,0.7
3,1515,2014,0.81
0,1517,2017,-0.18
1,1517,2016,0.06
2,1517,2015,0.61
3,1517,2014,1.01
0,1519,2017,0.36
1,1519,2016,0.96
2,1519,2015,0.86
3,1519,2014,1.0
0,1521,2017,6.55
1,1521,2016,6.52
2,1521,2015,5.9
3,1521,2014,4.88
0,1522,2017,2.12
1,1522,2016,3.17
2,1522,2015,2.43
3,1522,2014,1.64
0,1524,2017,0.92
1,1524,2016,1.23
2,1524,2015,-1.06
3,1524,2014,0.04
0,1525,2017,7.36
1,1525,2016,7.21
2,1525,2015,6.31
3,1525,2014,4.62
0,1526,2017,2.71
1,1526,2016,1.8
2,1526,2015,1.45
3,1526,2014,1.09
0,1527,2017,1.48
1,1527,2016,6.88
2,1527,2015,6.75
3,1527,2014,6.31
0,1528,2017,0.55
1,1528,2016,0.56
2,1528,2015,-0.24
3,1528,2014,0.12
0,1529,2017,0.11
1,1529,2016,-0.17
2,1529,2015,-0.72
3,1529,2014,-0.25
0,1530,2017,1.83
1,1530,2016,1.42
2,1530,2015,2.98
3,1530,2014,2.97
0,1531,2017,0.85
1,1531,2016,0.59
2,1531,2015,0.79
3,1531,2014,1.05
0,1532,2017,1.58
1,1532,2016,2.6
2,1532,2015,2.8
3,1532,2014,1.36
0,1533,2017,1.15
1,1533,2016,0.85
2,1533,2015,1.72
3,1533,2014,2.41
0,1535,2017,1.51
1,1535,2016,2.0
2,1535,2015,4.11
3,1535,2014,5.51
0,1536,2017,4.81
1,1536,2016,4.78
2,1536,2015,4.62
3,1536,2014,3.06
0,1537,2017,11.04
1,1537,2016,11.31
2,1537,2015,9.42
3,1537,2014,8.09
0,1538,2017,-1.85
1,1538,2016,-1.28
2,1538,2015,-0.65
3,1538,2014,-0.64
0,1539,2017,1.17
1,1539,2016,2.95
2,1539,2015,3.42
3,1539,2014,2.01
0,1540,2017,0.54
1,1540,2016,0.5
2,1540,2015,0.73
3,1540,2014,2.5
0,1541,2017,1.71
1,1541,2016,4.37
2,1541,2015,3.59
3,1541,2014,2.06
0,1558,2017,8.68
1,1558,2016,14.06
2,1558,2015,14.19
3,1558,2014,13.7
0,1560,2017,5.2
1,1560,2016,3.79
2,1560,2015,4.14
3,1560,2014,4.63
0,1568,2017,1.86
1,1568,2016,1.78
2,1568,2015,1.34
3,1568,2014,1.18
0,1583,2017,3.44
1,1583,2016,2.24
2,1583,2015,6.21
3,1583,2014,6.88
0,1587,2017,0.27
1,1587,2016,1.17
2,1587,2015,1.17
3,1587,2014,1.28
0,2049,2017,9.77
1,2049,2016,4.83
2,2049,2015,6.1
3,2049,2014,9.2
0,2228,2017,7.26
1,2228,2016,9.09
2,2228,2015,8.55
3,2228,2014,6.79
0,2231,2017,10.0
1,2231,2016,12.14
2,2231,2015,13.45
3,2231,2014,10.43
0,2371,2017,0.03
1,2371,2016,-1.04
2,2371,2015,-1.35
3,2371,2014,0.16
0,3167,2017,4.34
1,3167,2016,2.22
2,3167,2015,2.47
3,3167,2014,3.27
0,3346,2017,3.81
1,3346,2016,3.45
2,3346,2015,1.27
3,3346,2014,1.43
0,4526,2017,-0.93
1,4526,2016,0.23
2,4526,2015,1.06
3,4526,2014,2.51
0,4532,2017,2.1
1,4532,2016,2.8
2,4532,2015,1.86
3,4532,2014,2.3
0,4540,2017,2.5
1,4540,2016,0.54
2,4540,2015,0.3
3,4540,2014,1.15
0,4551,2017,7.32
1,4551,2016,5.95
2,4551,2015,3.74
3,4551,2014,4.27
0,4555,2017,2.41
1,4555,2016,2.07
2,4555,2015,3.89
3,4555,2014,5.32
0,4562,2017,2.24
1,4562,2016,2.71
2,4562,2015,2.82
3,4562,2014,7.63
0,4566,2017,3.41
1,4566,2016,2.36
2,4566,2015,2.04
3,4566,2014,0.98
0,6605,2017,6.04
1,6605,2016,7.19
2,6605,2015,9.45
3,6605,2014,10.07
0,8222,2017,0.4
1,8222,2016,1.04
2,8222,2015,1.26
3,8222,2014,0.68
0,8374,2017,2.04
1,8374,2016,0.33
2,8374,2015,-1.7
3,8374,2014,-1.49
0,8996,2017,0.63
1,8996,2016,3.48
2,8996,2015,2.07
3,8996,2014,2.45
0,1603,2017,1.77
1,1603,2016,1.88
2,1603,2015,1.96
3,1603,2014,0.88
0,1604,2017,0.67
1,1604,2016,1.65
2,1604,2015,1.0
3,1604,2014,1.25
0,1605,2017,1.97
1,1605,2016,1.33
2,1605,2015,0.45
3,1605,2014,0.64
0,1608,2017,1.04
1,1608,2016,0.23
2,1608,2015,-0.33
3,1608,2014,-0.02
0,1609,2017,0.83
1,1609,2016,0.05
2,1609,2015,-0.97
3,1609,2014,0.04
0,1611,2017,1.55
1,1611,2016,-2.15
2,1611,2015,0.03
3,1611,2014,-0.69
0,1612,2017,0.65
1,1612,2016,0.3
2,1612,2015,0.13
3,1612,2014,0.77
0,1614,2017,0.82
1,1614,2016,1.22
2,1614,2015,0.99
3,1614,2014,0.87
0,1615,2017,1.31
1,1615,2016,0.84
2,1615,2015,0.14
3,1615,2014,0.74
0,1616,2017,-0.58
1,1616,2016,0.11
2,1616,2015,1.01
3,1616,2014,-1.0
0,1617,2017,0.81
1,1617,2016,0.6
2,1617,2015,0.39
3,1617,2014,0.35
0,1618,2017,0.35
1,1618,2016,0.22
2,1618,2015,0.45
3,1618,2014,-0.06
0,4930,2017,-1.09
1,4930,2016,0.33
2,4930,2015,-0.61
3,4930,2014,3.68
0,1316,2017,3.17
1,1316,2016,-0.81
2,1316,2015,-0.88
3,1316,2014,-0.33
0,1704,2017,4.2
1,1704,2016,4.65
2,1704,2015,11.69
3,1704,2014,-9.76
0,1708,2017,2.44
1,1708,2016,2.98
2,1708,2015,2.48
3,1708,2014,3.73
0,1709,2017,1.32
1,1709,2016,1.96
2,1709,2015,1.48
3,1709,2014,0.43
0,1710,2017,2.01
1,1710,2016,-0.64
2,1710,2015,-0.14
3,1710,2014,0.13
0,1711,2017,0.67
1,1711,2016,0.86
2,1711,2015,1.08
3,1711,2014,1.16
0,1712,2017,1.5
1,1712,2016,1.6
2,1712,2015,1.03
3,1712,2014,1.51
0,1713,2017,0.48
1,1713,2016,0.65
2,1713,2015,0.46
3,1713,2014,0.61
0,1714,2017,0.34
1,1714,2016,0.42
2,1714,2015,0.37
3,1714,2014,-0.42
0,1717,2017,1.65
1,1717,2016,2.38
2,1717,2015,2.81
3,1717,2014,2.26
0,1718,2017,0.7
1,1718,2016,-0.18
2,1718,2015,0.48
3,1718,2014,0.97
0,1721,2017,0.32
1,1721,2016,1.05
2,1721,2015,0.71
3,1721,2014,0.09
0,1722,2017,1.65
1,1722,2016,-0.07
2,1722,2015,2.48
3,1722,2014,3.13
0,1723,2017,5.0
1,1723,2016,4.45
2,1723,2015,5.37
3,1723,2014,9.5
0,1724,2017,0.68
1,1724,2016,1.42
2,1724,2015,1.67
3,1724,2014,0.32
0,1725,2017,1.19
1,1725,2016,1.15
2,1725,2015,1.11
3,1725,2014,0.94
0,1726,2017,4.88
1,1726,2016,6.52
2,1726,2015,5.8
3,1726,2014,6.39
0,1727,2017,0.84
1,1727,2016,0.88
2,1727,2015,0.9
3,1727,2014,1.05
0,1730,2017,3.13
1,1730,2016,3.04
2,1730,2015,2.73
3,1730,2014,2.14
0,1732,2017,0.17
1,1732,2016,-0.57
2,1732,2015,-0.2
3,1732,2014,-0.24
0,1735,2017,0.63
1,1735,2016,0.74
2,1735,2015,1.25
3,1735,2014,0.75
0,1773,2017,5.86
1,1773,2016,5.23
2,1773,2015,4.08
3,1773,2014,3.5
0,1776,2017,1.35
1,1776,2016,1.61
2,1776,2015,2.1
3,1776,2014,1.38
0,3708,2017,2.46
1,3708,2016,0.57
2,3708,2015,
3,3708,2014,
0,4720,2017,0.33
1,4720,2016,0.97
2,4720,2015,1.24
3,4720,2014,1.1
0,4722,2017,3.1
1,4722,2016,3.68
2,4722,2015,3.94
3,4722,2014,2.03
0,4725,2017,-1.21
1,4725,2016,-1.43
2,4725,2015,-6.38
3,4725,2014,-1.97
0,4739,2017,5.4
1,4739,2016,3.01
2,4739,2015,1.71
3,4739,2014,3.62
0,4755,2017,4.26
1,4755,2016,3.18
2,4755,2015,2.27
3,4755,2014,1.63
0,4764,2017,5.22
1,4764,2016,5.25
2,4764,2015,6.96
3,4764,2014,8.58
0,1598,2017,-1.62
1,1598,2016,3.54
2,1598,2015,3.13
3,1598,2014,4.02
0,1701,2017,1.05
1,1701,2016,1.05
2,1701,2015,1.19
3,1701,2014,1.17
0,1707,2017,10.03
1,1707,2016,9.82
2,1707,2015,8.07
3,1707,2014,7.24
0,1720,2017,2.03
1,1720,2016,1.9
2,1720,2015,1.95
3,1720,2014,2.09
0,1731,2017,0.65
1,1731,2016,0.68
2,1731,2015,0.6
3,1731,2014,0.61
0,1733,2017,0.86
1,1733,2016,0.03
2,1733,2015,2.66
3,1733,2014,2.77
0,1734,2017,0.22
1,1734,2016,0.1
2,1734,2015,0.09
3,1734,2014,1.01
0,1736,2017,0.43
1,1736,2016,2.36
2,1736,2015,1.85
3,1736,2014,8.73
0,1760,2017,1.33
1,1760,2016,1.45
2,1760,2015,1.3
3,1760,2014,1.01
0,1762,2017,1.11
1,1762,2016,0.78
2,1762,2015,3.98
3,1762,2014,0.19
0,1783,2017,0.23
1,1783,2016,-0.18
2,1783,2015,-0.89
3,1783,2014,-0.27
0,1786,2017,0.33
1,1786,2016,-0.51
2,1786,2015,1.05
3,1786,2014,-0.41
0,1789,2017,0.53
1,1789,2016,0.87
2,1789,2015,0.87
3,1789,2014,0.69
0,3164,2017,0.51
1,3164,2016,-2.65
2,3164,2015,-1.1
3,3164,2014,-5.82
0,3705,2017,1.93
1,3705,2016,2.47
2,3705,2015,3.35
3,3705,2014,2.84
0,4104,2017,3.12
1,4104,2016,3.09
2,4104,2015,3.27
3,4104,2014,2.53
0,4106,2017,1.42
1,4106,2016,1.47
2,4106,2015,2.02
3,4106,2014,2.14
0,4108,2017,-1.26
1,4108,2016,-1.19
2,4108,2015,-1.24
3,4108,2014,-1.97
0,4119,2017,2.41
1,4119,2016,5.34
2,4119,2015,5.17
3,4119,2014,3.83
0,4133,2017,0.97
1,4133,2016,0.91
2,4133,2015,0.77
3,4133,2014,1.1
0,4142,2017,-3.24
1,4142,2016,-2.54
2,4142,2015,-3.24
3,4142,2014,-3.04
0,4155,2017,2.0
1,4155,2016,1.36
2,4155,2015,1.77
3,4155,2014,1.4
0,4164,2017,-0.62
1,4164,2016,1.14
2,4164,2015,1.73
3,4164,2014,2.04
0,4737,2017,2.52
1,4737,2016,2.82
2,4737,2015,1.91
3,4737,2014,1.22
0,4746,2017,2.62
1,4746,2016,5.5
2,4746,2015,3.32
3,4746,2014,3.11
0,1802,2017,0.73
1,1802,2016,-0.62
2,1802,2015,-1.97
3,1802,2014,0.06
0,1806,2017,-0.21
1,1806,2016,0.08
2,1806,2015,-0.17
3,1806,2014,-1.15
0,1809,2017,-0.09
1,1809,2016,0.62
2,1809,2015,0.39
3,1809,2014,0.87
0,1810,2017,0.46
1,1810,2016,0.81
2,1810,2015,0.35
3,1810,2014,0.49
0,1817,2017,3.58
1,1817,2016,3.4
2,1817,2015,3.18
3,1817,2014,2.51
0,1902,2017,0.58
1,1902,2016,-0.69
2,1902,2015,0.45
3,1902,2014,0.05
0,1903,2017,-0.66
1,1903,2016,-0.7
2,1903,2015,-0.61
3,1903,2014,-1.71
0,1904,2017,1.29
1,1904,2016,1.17
2,1904,2015,1.06
3,1904,2014,0.7
0,1905,2017,0.56
1,1905,2016,0.35
2,1905,2015,0.66
3,1905,2014,0.02
0,1906,2017,2.77
1,1906,2016,6.56
2,1906,2015,0.53
3,1906,2014,1.18
0,1907,2017,0.97
1,1907,2016,0.08
2,1907,2015,0.3
3,1907,2014,0.36
0,1909,2017,3.5
1,1909,2016,2.79
2,1909,2015,1.12
3,1909,2014,1.09
0,2002,2017,1.09
1,2002,2016,1.04
2,2002,2015,0.49
3,2002,2014,1.43
0,2006,2017,1.72
1,2006,2016,1.49
2,2006,2015,1.27
3,2006,2014,1.06
0,2007,2017,-0.35
1,2007,2016,-0.41
2,2007,2015,-0.79
3,2007,2014,-0.99
0,2008,2017,-1.02
1,2008,2016,-0.59
2,2008,2015,0.68
3,2008,2014,-1.34
0,2009,2017,0.75
1,2009,2016,-0.44
2,2009,2015,-0.95
3,2009,2014,0.37
0,2010,2017,0.6
1,2010,2016,1.02
2,2010,2015,1.02
3,2010,2014,0.72
0,2012,2017,0.88
1,2012,2016,0.95
2,2012,2015,0.56
3,2012,2014,0.53
0,2013,2017,0.28
1,2013,2016,0.37
2,2013,2015,0.9
3,2013,2014,1.33
0,2014,2017,1.82
1,2014,2016,1.33
2,2014,2015,-0.81
3,2014,2014,0.15
0,2015,2017,4.69
1,2015,2016,3.12
2,2015,2015,3.45
3,2015,2014,2.87
0,2017,2017,1.0
1,2017,2016,0.57
2,2017,2015,-0.59
3,2017,2014,-0.44
0,2020,2017,1.46
1,2020,2016,1.65
2,2020,2015,-1.45
3,2020,2014,0.92
0,2022,2017,-0.16
1,2022,2016,-0.16
2,2022,2015,-1.06
3,2022,2014,0.0
0,2023,2017,0.75
1,2023,2016,1.46
2,2023,2015,-0.56
3,2023,2014,0.74
0,2024,2017,1.05
1,2024,2016,1.03
2,2024,2015,0.34
3,2024,2014,1.26
0,2025,2017,0.55
1,2025,2016,0.33
2,2025,2015,-1.45
3,2025,2014,-0.3
0,2027,2017,1.25
1,2027,2016,0.61
2,2027,2015,-0.36
3,2027,2014,2.44
0,2028,2017,1.95
1,2028,2016,0.04
2,2028,2015,-3.13
3,2028,2014,-2.06
0,2029,2017,2.32
1,2029,2016,3.96
2,2029,2015,-0.29
3,2029,2014,1.36
0,2030,2017,1.98
1,2030,2016,1.08
2,2030,2015,-1.01
3,2030,2014,1.51
0,2031,2017,3.49
1,2031,2016,2.67
2,2031,2015,-1.45
3,2031,2014,0.83
0,2032,2017,0.12
1,2032,2016,0.56
2,2032,2015,0.26
3,2032,2014,0.44
0,2033,2017,0.29
1,2033,2016,0.56
2,2033,2015,-0.05
3,2033,2014,-0.2
0,2034,2017,2.0
1,2034,2016,1.95
2,2034,2015,1.44
3,2034,2014,2.66
0,2038,2017,0.06
1,2038,2016,0.65
2,2038,2015,-1.16
3,2038,2014,-0.89
0,2069,2017,1.55
1,2069,2016,2.36
2,2069,2015,0.55
3,2069,2014,1.2
0,3004,2017,3.52
1,3004,2016,4.2
2,3004,2015,4.53
3,3004,2014,-1.32
0,5007,2017,3.84
1,5007,2016,3.7
2,5007,2015,3.03
3,5007,2014,3.88
0,9958,2017,0.32
1,9958,2016,0.39
2,9958,2015,1.02
3,9958,2014,0.35
0,2101,2017,0.79
1,2101,2016,1.25
2,2101,2015,0.97
3,2101,2014,0.4
0,2102,2017,-1.52
1,2102,2016,-0.02
2,2102,2015,1.2
3,2102,2014,0.95
0,2103,2017,1.06
1,2103,2016,1.2
2,2103,2015,0.64
3,2103,2014,1.38
0,2104,2017,3.69
1,2104,2016,2.5
2,2104,2015,1.45
3,2104,2014,4.76
0,2105,2017,1.71
1,2105,2016,4.09
2,2105,2015,3.94
3,2105,2014,4.94
0,2106,2017,0.38
1,2106,2016,3.54
2,2106,2015,4.04
3,2106,2014,4.5
0,2107,2017,0.47
1,2107,2016,0.71
2,2107,2015,1.6
3,2107,2014,6.57
0,2108,2017,1.74
1,2108,2016,1.71
2,2108,2015,2.72
3,2108,2014,0.56
0,2109,2017,-2.94
1,2109,2016,0.13
2,2109,2015,0.32
3,2109,2014,2.36
0,2114,2017,5.02
1,2114,2016,5.19
2,2114,2015,6.2
3,2114,2014,7.34
0,6582,2017,3.46
1,6582,2016,6.3
2,6582,2015,8.13
3,6582,2014,4.0
0,2201,2017,1.56
1,2201,2016,0.91
2,2201,2015,2.29
3,2201,2014,1.51
0,2204,2017,3.01
1,2204,2016,2.34
2,2204,2015,2.32
3,2204,2014,1.88
0,2206,2017,0.6
1,2206,2016,-0.37
2,2206,2015,3.48
3,2206,2014,-0.32
0,2207,2017,18.52
1,2207,2016,19.66
2,2207,2015,17.9
3,2207,2014,16.84
0,2227,2017,22.14
1,2227,2016,15.44
2,2227,2015,13.89
3,2227,2014,21.75
0,2302,2017,-0.2
1,2302,2016,0.08
2,2302,2015,0.03
3,2302,2014,0.74
0,2303,2017,0.79
1,2303,2016,0.68
2,2303,2015,1.08
3,2303,2014,0.97
0,2329,2017,-0.89
1,2329,2016,0.63
2,2329,2015,1.3
3,2329,2014,0.82
0,2330,2017,13.23
1,2330,2016,12.89
2,2330,2015,11.82
3,2330,2014,10.18
0,2337,2017,3.12
1,2337,2016,-0.07
2,2337,2015,-1.19
3,2337,2014,-1.83
0,2338,2017,-0.33
1,2338,2016,-0.71
2,2338,2015,-0.15
3,2338,2014,0.25
0,2342,2017,-0.32
1,2342,2016,-0.33
2,2342,2015,-2.65
3,2342,2014,-1.09
0,2344,2017,1.54
1,2344,2016,0.81
2,2344,2015,0.9
3,2344,2014,0.83
0,2351,2017,3.93
1,2351,2016,4.0
2,2351,2015,3.16
3,2351,2014,3.95
0,2363,2017,-0.5
1,2363,2016,-0.34
2,2363,2015,0.02
3,2363,2014,-0.19
0,2369,2017,0.35
1,2369,2016,0.62
2,2369,2015,-0.21
3,2369,2014,0.5
0,2379,2017,6.71
1,2379,2016,6.02
2,2379,2015,4.81
3,2379,2014,7.71
0,2388,2017,0.1
1,2388,2016,0.41
2,2388,2015,1.82
3,2388,2014,-3.18
0,2401,2017,0.72
1,2401,2016,0.2
2,2401,2015,1.0
3,2401,2014,0.72
0,2408,2017,14.36
1,2408,2016,8.67
2,2408,2015,7.07
3,2408,2014,11.77
0,2434,2017,-1.83
1,2434,2016,-1.14
2,2434,2015,-2.61
3,2434,2014,2.45
0,2436,2017,1.02
1,2436,2016,0.64
2,2436,2015,0.55
3,2436,2014,0.94
0,2441,2017,4.41
1,2441,2016,3.94
2,2441,2015,3.47
3,2441,2014,3.98
0,2449,2017,1.88
